Subject ID,Trial,Expected Value
1,1,0.5
1,2,0.5
1,3,0.2704173165465183
1,4,0.2704173165465183
1,5,0.48959241299228023
1,6,0.32354863841915726
1,7,0.48959241299228023
1,8,0.2567427106532444
1,9,0.45393494716460403
1,10,0.5473180357433265
1,11,0.3591685835582799
1,12,0.5844661722760113
1,13,0.5043519273705496
1,14,0.5778147837712827
1,15,0.37299659607381835
1,16,0.29230901901327916
1,17,0.6259165670133191
1,18,0.3993383669544078
1,19,0.47341245267477683
1,20,0.3299723192685731
1,21,0.26992117288203404
1,22,0.23374362790188022
1,23,0.5321038511346523
1,24,0.4380206951234824
1,25,0.5334537988879702
1,26,0.5982526794919016
1,27,0.35170948222734555
1,28,0.49708908705471117
1,29,0.39315762027313333
1,30,0.34370465788730076
1,31,0.5282030830063135
1,32,0.49289437491209387
1,33,0.3427274708550854
1,34,0.3664747284860752
1,35,0.5109222277892068
1,36,0.2802539661159655
1,37,0.2428922283592376
1,38,0.21695130428597373
1,39,0.5828374679130204
1,40,0.6295765771124596
1,41,0.6636664521470511
1,42,0.1974196845224955
1,43,0.41939670131804563
1,44,0.2934466153589374
1,45,0.46036841238369036
1,46,0.319054761045377
1,47,0.41770506286528525
1,48,0.32776112702462235
1,49,0.26189062791897033
1,50,0.22807283406994364
1,51,0.4954401382009729
1,52,0.20466269751062618
1,53,0.18702443882296932
1,54,0.17302127299873224
1,55,0.16150460509145856
1,56,0.3494493071579977
1,57,0.1517894600445126
1,58,0.5002097453112676
1,59,0.5751712426114153
1,60,0.6236469564863366
1,61,0.40094124317594887
1,62,0.5331108413906241
1,63,0.5987454041892468
1,64,0.39483140985576765
1,65,0.5293560837789708
1,66,0.5961813964661228
1,67,0.3940282600395242
1,68,0.31506580192173583
1,69,0.39486091831875486
1,70,0.27267121636509517
1,71,0.22570159766575276
1,72,0.19838579568639822
1,73,0.4862449312707575
1,74,0.5670730080881415
1,75,0.6181243142109863
1,76,0.3984566717564054
