Subject ID,Trial,Expected Value
1,1,0.5
1,2,0.6717862943506356
1,3,0.7765711802794433
1,4,0.8432661916922412
1,5,0.8872477534862698
1,6,0.9171329249278548
1,7,0.9379668907793041
1,8,0.9101876465502216
1,9,0.935044768225567
1,10,0.9077154100377405
1,11,0.8817192988072166
1,12,0.9176790967538366
1,13,0.9409296055653619
1,14,0.956535118604356
1,15,0.9286468023334532
1,16,0.9494541191107982
1,17,0.963154176312851
1,18,0.9725015475889989
1,19,0.9790703920885133
1,20,0.9838029938830195
1,21,0.98728576544635
1,22,0.9898959927432076
1,23,0.9918835147120071
1,24,0.9627338256955481
1,25,0.9350118079420708
1,26,0.9567610316343634
1,27,0.9293127993820559
1,28,0.9031855102035239
1,29,0.9356747514928931
1,30,0.9558156775426754
1,31,0.9687836050139913
1,32,0.9774066730467471
1,33,0.9489610619710874
1,34,0.9650109689574436
1,35,0.9371749223169666
1,36,0.9573639079065676
1,37,0.9298929088487323
1,38,0.9524892400433627
1,39,0.9668016713368733
1,40,0.9388727305371508
1,41,0.9122967979001729
1,42,0.9411524744459027
1,43,0.9592411879553661
1,44,0.9710075793877346
1,45,0.9428735116152734
1,46,0.960825261692226
1,47,0.9331895484369209
1,48,0.9545665214891971
1,49,0.9681537413197674
1,50,0.9771035728689421
1,51,0.9831787980262064
1,52,0.9544938531074766
1,53,0.9689552751919105
1,54,0.978143204042614
1,55,0.9842042385633013
1,56,0.9554907174345076
1,57,0.9698473133047592
1,58,0.9789091345499408
1,59,0.9504559090136686
1,60,0.9665347984388679
1,61,0.9766738612176358
1,62,0.9833069938081224
1,63,0.9546448938254884
1,64,0.9693332000913333
1,65,0.978600851819951
1,66,0.9846693170672821
1,67,0.9887687698713978
1,68,0.9916127887247922
1,69,0.9625717998211709
1,70,0.9749208349547128
1,71,0.9826260736540647
1,72,0.9876246026069259
1,73,0.9909750927505199
1,74,0.9619729859828374
1,75,0.9745964982826438
1,76,0.9824607328774227
1,77,0.95386666021122
1,78,0.9691334809063405
1,79,0.9786838718556546
1,80,0.9502617267905853
1,81,0.9232206261260604
1,82,0.9491583919931195
1,83,0.9652287581098042
1,84,0.9755649404135229
1,85,0.9472638414290204
1,86,0.9642224271977681
1,87,0.9749926678621432
1,88,0.9467203771355753
1,89,0.5
1,90,0.9638919023331625
1,91,0.9747788175361903
1,92,0.9819324651248403
1,93,0.9533319132868228
1,94,0.9683713128993285
1,95,0.9778903053438462
1,96,0.9494880687672318
1,97,0.9658629403982983
1,98,0.9380384613804457
1,99,0.9115583984832888
1,100,0.9412490462981332
1,101,0.9597006459488999
1,102,0.9716021916017694
1,103,0.9434682333003341
1,104,0.9614397270245472
1,105,0.9729147546230628
1,106,0.9447249933673442
1,107,0.9623767223276579
